PID,Player,Pos,Team,FF Pts,ADP,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,BYE,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Health,C
allenj3,Josh Allen,QB,BUF,342.494,27,311.304,458.512,3670.248,24.564,8.740,96.606,505.460,10.148,0.000,0.000,0.000,7,176.514,32.905,0.000,2.633,0.000,0.000,A,+
jacksl1,Lamar Jackson,QB,BAL,318.693,46,263.735,411.768,3422.676,27.232,6.624,124.629,707.800,2.387,0.000,0.000,0.000,13,160.851,46.078,0.000,2.810,0.000,0.000,B,-
mayed1,Drake Maye,QB,NE,297.116,57,324.099,451.465,3752.956,25.576,11.040,99.331,422.845,3.201,0.000,0.000,0.000,11,181.309,27.527,0.000,2.878,0.000,0.000,A,+
daniej1,Jayden Daniels,QB,WAS,295.163,63,307.246,461.707,3389.004,22.448,9.016,123.286,646.164,3.510,0.000,0.000,0.000,7,165.788,42.065,0.000,3.425,0.000,0.000,B,-
hurtsj1,Jalen Hurts,QB,PHI,294.740,67,290.826,439.099,3079.792,21.804,6.348,115.579,456.700,8.492,0.000,0.000,0.000,10,152.303,29.731,0.000,2.971,0.000,0.000,A,-
burroj1,Joe Burrow,QB,CIN,293.844,59,402.545,572.803,4121.730,31.680,9.450,44.564,135.354,0.686,0.000,0.000,0.000,6,205.714,8.812,0.000,2.973,0.000,0.000,B,-
herbej1,Justin Herbert,QB,LAC,287.663,82,325.440,486.776,3884.884,24.196,8.832,70.785,392.340,1.917,0.000,0.000,0.000,7,186.262,25.541,0.000,3.210,0.000,0.000,A,-
lawret1,Trevor Lawrence,QB,JAX,286.062,87,301.758,509.632,3552.948,23.828,12.604,74.417,340.412,5.510,0.000,0.000,0.000,7,170.930,22.161,0.000,2.933,0.000,0.000,A,-
prescd1,Dak Prescott,QB,DAL,285.717,83,371.051,547.501,4137.056,28.520,11.960,43.719,156.008,1.310,0.000,0.000,0.000,14,201.814,10.156,0.000,2.673,0.000,0.000,A,+
willic6,Caleb Williams,QB,CHI,284.149,71,318.261,536.733,3685.980,25.300,6.992,72.472,336.357,2.509,0.000,0.000,0.000,10,178.066,21.897,0.000,3.094,0.000,0.000,A,+
purdyb1,Brock Purdy,QB,SF,282.323,96,328.197,487.806,4012.184,24.992,15.400,55.541,240.354,3.097,0.000,0.000,0.000,8,191.247,15.647,0.000,2.675,0.000,0.000,B,-
dartj1,Jaxson Dart,QB,NYG,281.712,90,282.099,440.048,2885.488,18.860,7.176,96.916,544.104,8.295,0.000,0.000,0.000,8,144.055,35.421,0.000,3.076,0.000,0.000,A,+
mahomp1,Patrick Mahomes,QB,KC,279.636,100,350.241,536.397,3747.804,23.460,11.592,70.221,379.004,2.607,0.000,0.000,0.000,5,184.820,24.673,0.000,3.033,0.000,0.000,A,-
