run_id,feature_run_id,model_name,model_family,feature_variant,feature_count,feature_names_json,hyperparameters_json
m4a_team_environment_20260729T012406Z_85a7b838,milestone_3_20260729T010945Z_7f8c8fd9,qb_yardage_lasso,lasso,qb_yardage,42,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_passing_yards"", ""team_qb1_rushing_yards""]","{""lasso__alpha"": [0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1.0]}"
m4a_team_environment_20260729T012406Z_85a7b838,milestone_3_20260729T010945Z_7f8c8fd9,qb_yardage_random_forest,random_forest,qb_yardage,42,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_passing_yards"", ""team_qb1_rushing_yards""]","{""rf__bootstrap"": [true], ""rf__max_depth"": [6, 10], ""rf__max_features"": [0.5, 1.0], ""rf__min_samples_leaf"": [5, 15], ""rf__n_estimators"": [250], ""rf__n_jobs"": [1], ""rf__random_state"": [1234]}"
m4a_team_environment_20260729T012406Z_85a7b838,milestone_3_20260729T010945Z_7f8c8fd9,qb_yardage_lightgbm,lightgbm,qb_yardage,42,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_passing_yards"", ""team_qb1_rushing_yards""]","{""lgbm__colsample_bytree"": [1.0], ""lgbm__deterministic"": [true], ""lgbm__force_col_wise"": [true], ""lgbm__learning_rate"": [0.03, 0.05], ""lgbm__max_depth"": [3, 4], ""lgbm__min_child_samples"": [20, 40], ""lgbm__n_estimators"": [100, 200], ""lgbm__num_leaves"": [7, 15], ""lgbm__reg_lambda"": [1.0, 5.0], ""lgbm__subsample"": [1.0]}"
m4a_team_environment_20260729T013118Z_19a88321,milestone_3_20260729T010945Z_7f8c8fd9,qb_tds_lasso,lasso,qb_tds,42,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_passing_tds"", ""team_qb1_rushing_tds""]","{""lasso__alpha"": [0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1.0]}"
m4a_team_environment_20260729T013118Z_19a88321,milestone_3_20260729T010945Z_7f8c8fd9,qb_tds_random_forest,random_forest,qb_tds,42,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_passing_tds"", ""team_qb1_rushing_tds""]","{""rf__bootstrap"": [true], ""rf__max_depth"": [6, 10], ""rf__max_features"": [0.5, 1.0], ""rf__min_samples_leaf"": [5, 15], ""rf__n_estimators"": [250], ""rf__n_jobs"": [1], ""rf__random_state"": [1234]}"
m4a_team_environment_20260729T013118Z_19a88321,milestone_3_20260729T010945Z_7f8c8fd9,qb_tds_lightgbm,lightgbm,qb_tds,42,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_passing_tds"", ""team_qb1_rushing_tds""]","{""lgbm__colsample_bytree"": [1.0], ""lgbm__deterministic"": [true], ""lgbm__force_col_wise"": [true], ""lgbm__learning_rate"": [0.03, 0.05], ""lgbm__max_depth"": [3, 4], ""lgbm__min_child_samples"": [20, 40], ""lgbm__n_estimators"": [100, 200], ""lgbm__num_leaves"": [7, 15], ""lgbm__reg_lambda"": [1.0, 5.0], ""lgbm__subsample"": [1.0]}"
m4a_team_environment_20260729T013936Z_12ecc9aa,milestone_3_20260729T010945Z_7f8c8fd9,qb_style_lasso,lasso,qb_style,41,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_rush_point_share""]","{""lasso__alpha"": [0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1.0]}"
m4a_team_environment_20260729T013936Z_12ecc9aa,milestone_3_20260729T010945Z_7f8c8fd9,qb_style_random_forest,random_forest,qb_style,41,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_rush_point_share""]","{""rf__bootstrap"": [true], ""rf__max_depth"": [6, 10], ""rf__max_features"": [0.5, 1.0], ""rf__min_samples_leaf"": [5, 15], ""rf__n_estimators"": [250], ""rf__n_jobs"": [1], ""rf__random_state"": [1234]}"
m4a_team_environment_20260729T013936Z_12ecc9aa,milestone_3_20260729T010945Z_7f8c8fd9,qb_style_lightgbm,lightgbm,qb_style,41,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_rush_point_share""]","{""lgbm__colsample_bytree"": [1.0], ""lgbm__deterministic"": [true], ""lgbm__force_col_wise"": [true], ""lgbm__learning_rate"": [0.03, 0.05], ""lgbm__max_depth"": [3, 4], ""lgbm__min_child_samples"": [20, 40], ""lgbm__n_estimators"": [100, 200], ""lgbm__num_leaves"": [7, 15], ""lgbm__reg_lambda"": [1.0, 5.0], ""lgbm__subsample"": [1.0]}"
m4a_team_environment_20260729T014651Z_521be788,milestone_3_20260729T010945Z_7f8c8fd9,team_support_lasso,lasso,team_support,43,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_core_skill_points"", ""team_core_skill_projection_percentile"", ""team_supporting_cast_points""]","{""lasso__alpha"": [0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1.0]}"
