lock_version,model_run_id,audit,slice,n_rows,value
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage_all,all,8901,0.874508482193012
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage_current,2026,783,0.7854406130268199
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,residual_reconstruction_max_abs_error,historical_actual_available,4538,1.7763568394002505e-15
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,single_template_residual_variance,historical_actual_available,4538,9.067326633445202
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,independent_double_draw_variance,prohibited_counterfactual,4538,18.134653266890403
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,independent_double_draw_variance_ratio,prohibited_counterfactual,4538,2.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2017_QB,138,0.36231884057971014
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2017_RB,262,0.9427480916030534
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2017_TE,229,0.9781659388646288
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2017_WR,435,0.9885057471264368
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2018_QB,140,0.007142857142857143
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2018_RB,271,0.9077490774907749
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2018_TE,231,0.9826839826839827
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2018_WR,446,0.9820627802690582
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2019_QB,131,0.3893129770992366
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2019_RB,239,0.8577405857740585
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2019_TE,187,0.9144385026737968
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2019_WR,366,0.9180327868852459
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2020_QB,119,0.4369747899159664
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2020_RB,224,0.9776785714285714
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2020_TE,168,0.9940476190476191
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2020_WR,327,0.9877675840978594
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2021_QB,116,0.43103448275862066
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2021_RB,217,0.9216589861751152
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2021_TE,181,0.9779005524861878
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2021_WR,334,1.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2022_QB,116,0.43103448275862066
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2022_RB,233,0.9570815450643777
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2022_TE,181,0.9668508287292817
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2022_WR,328,0.9725609756097561
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2023_QB,116,0.43103448275862066
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2023_RB,217,0.9723502304147466
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2023_TE,168,0.9821428571428571
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2023_WR,353,0.9688385269121813
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2024_QB,117,0.5726495726495726
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2024_RB,205,0.9365853658536586
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2024_TE,162,0.9814814814814815
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2024_WR,318,0.9685534591194969
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2025_QB,120,0.5583333333333333
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2025_RB,218,0.9678899082568807
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2025_TE,173,0.9710982658959537
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2025_WR,332,0.9457831325301205
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2026_QB,105,0.6476190476190476
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2026_RB,200,0.82
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2026_TE,173,0.861271676300578
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T193330Z_f710cfa4,point_center_coverage,2026_WR,305,0.7672131147540984
