player,player_key,pos,pred_fp_per_game,stored_pred_salary,pred_salary_raw,base_salary_observed,salary_resid_5,salary_resid_10,salary_resid_25,salary_resid_75,salary_resid_90,salary_resid_95,espn_source_salary,salary_model_matched,espn_source_matched,raw_point_salary,point_salary,year,actual_salary,is_keeper,actual_salary_recorded,actual_salary_used_in_replay,salary_residual,replay_salary_residual,scenario_market_mean,scenario_center_shift,actual_minus_scenario,selection_slots,selection_slots_chance_60,selection_slots_chance_70,selection_slots_chance_80,selection_slots_chance_90,selection_rate,selection_bucket,predicted_salary_tier,projection_strength_pct,price_strength_pct,value_rank_gap,value_over_price_quintile,top_projection_quartile,salary_center_source
Aaron Jones,aaronjones,RB,13.398380279541016,73.15714462627719,67.0249039572842,1.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,56.0,True,True,67.0249039572842,73.73779,2022,67.0,0.0,True,67.0,-6.737790000000004,-6.737790000000004,74.46701903882139,0.7292290388213871,-7.467019038821391,90,24,24,21,21,0.09,occasional_5-25%,$51+,0.9090909090909091,0.922077922077922,-0.012987012987012991,3,True,current_salary_model
Aaron Rodgers,aaronrodgers,QB,18.130952835083008,5.383343069587101,5.01082674044619,1.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,4.0,True,True,5.01082674044619,5.418616,2022,2.0,0.0,True,2.0,-3.418616,-3.418616,4.7954919212034,-0.6231240787966001,-2.7954919212034,165,40,38,45,42,0.165,occasional_5-25%,$6-15,0.8484848484848485,0.696969696969697,0.1515151515151515,5,True,current_salary_model
Abram Smith,abramsmith,RB,6.306136608123779,,,,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,,False,False,1.0,1.0,2022,,,False,1.0,,0.0,2.7977423995874977,1.7977423995874977,,0,0,0,0,0,0.0,never,$1-5,0.12987012987012986,0.2857142857142857,-0.15584415584415584,1,False,minimum_fallback
Adam Thielen,adamthielen,WR,10.604836463928224,19.700117500596747,18.110896895401865,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,10.0,True,True,18.110896895401865,19.850597,2022,20.0,0.0,True,20.0,0.1494029999999995,0.1494029999999995,17.295343313150905,-2.5552536868490954,2.704656686849095,138,33,32,36,37,0.138,occasional_5-25%,$16-30,0.8585858585858586,0.8080808080808081,0.0505050505050505,4,True,current_salary_model
Adam Trautman,adamtrautman,TE,6.530933856964111,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.3469768438638883,1.3469768438638883,,0,0,0,0,0,0.0,never,$1-5,0.4782608695652174,0.3695652173913043,0.10869565217391308,4,False,current_salary_model
Aj Brown,ajbrown,WR,11.94201374053955,55.21179592160347,50.604632190119816,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,46.0,True,True,50.604632190119816,55.64804,2022,45.0,0.0,True,45.0,-10.648040000000002,-10.648040000000002,53.60496136234225,-2.04307863765775,-8.604961362342252,12,2,3,4,3,0.012,rare_0-5%,$51+,0.9292929292929293,0.9393939393939394,-0.010101010101010166,3,True,current_salary_model
Aj Dillon,ajdillon,RB,10.621748924255373,20.345024646668048,18.70099691392751,1.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,2.0,True,True,18.70099691392751,20.500694,2022,36.0,0.0,True,36.0,15.499306,15.499306,20.333347311324275,-0.16734668867572466,15.666652688675725,177,45,47,44,41,0.177,occasional_5-25%,$16-30,0.7792207792207793,0.7792207792207793,0.0,3,True,current_salary_model
Aj Green,ajgreen,WR,8.239962577819824,1.0,1.0,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,1.687722589511141,0.687722589511141,,3,0,1,1,1,0.003,rare_0-5%,$1-5,0.47474747474747475,0.2676767676767677,0.20707070707070707,5,False,current_salary_model
Albert Okwuegbunam,albertokwuegbunam,TE,7.163317680358887,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.3379640811064006,1.3379640811064006,,14,4,3,3,4,0.014,rare_0-5%,$1-5,0.6086956521739131,0.3695652173913043,0.23913043478260876,5,False,current_salary_model
Alec Pierce,alecpierce,WR,6.653608322143555,1.98576311340289,1.9019885033443735,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.9019885033443735,1.9936956,2022,1.0,0.0,True,1.0,-0.9936955999999999,-0.9936955999999999,1.9873302310977083,-0.006365368902291557,-0.9873302310977083,0,0,0,0,0,0.0,never,$1-5,0.12121212121212122,0.5454545454545454,-0.4242424242424242,1,False,current_salary_model
