period,matcher,n,score_crps,score_bias,score_coverage_80,mean_interval_width,zero_player_weeks_crps,zero_player_weeks_bias,zero_active_players_crps
all_2017_2025,beta_context_only,1152,91.81137095650595,-13.40978749593099,0.7109375,347.608411471049,8.08180781941355,-2.1923376012731484,0.21011180642210406
all_2017_2025,beta_scored_full,1152,92.66523302879823,-12.434841473897299,0.7109375,347.88856303956777,8.161140341817596,-2.9708229347511574,0.20873729093575183
all_2017_2025,beta_scored_ppg_only,1152,92.13871388960655,-13.34516175587972,0.7039930555555556,346.1592164039612,8.215475606329647,-2.78569652416088,0.21045529989548672
all_2017_2025,beta_scored_rank_only,1152,92.47543620370992,-15.823185602823893,0.7135416666666666,347.8043729994032,8.006059322828127,-2.17376708984375,0.20706959123964663
all_2017_2025,production_hybrid,1152,92.00906839709295,-8.206805335150825,0.7057291666666666,348.8763646125793,8.146809189407913,-2.7604573567708335,0.20692721708321277
development_2017_2022,beta_context_only,720,92.86135935219878,-12.173214721679688,0.6875,331.75045761108396,8.281850273226516,-4.806872106481482,0.19308414223753373
development_2017_2022,beta_scored_full,720,94.16594233981644,-11.952966647677952,0.6861111111111111,333.27734018961587,8.454665167537737,-5.656644241898148,0.19138818434727045
development_2017_2022,beta_scored_ppg_only,720,93.66638076936619,-11.960728454589844,0.6847222222222222,331.5032675679525,8.531982563160083,-5.889051649305555,0.19442390159324363
development_2017_2022,beta_scored_rank_only,720,93.9099776899396,-15.294811672634548,0.6916666666666667,333.30719780815974,8.173073615556882,-4.396495225694444,0.1912181712962963
development_2017_2022,production_hybrid,720,93.32034034744872,-6.3040383232964405,0.6888888888888889,334.56313810560437,8.39285181304555,-5.316511140046296,0.19048710575810182
recent_2020_2025,beta_context_only,864,90.4378551101061,-1.6850485625090423,0.7476851851851852,372.20980279710557,8.332777368678968,-2.3194595148533956,0.21075730657381284
recent_2020_2025,beta_scored_full,864,91.13033416406577,-0.3876123781557436,0.7511574074074074,373.5387922216345,8.408534493465973,-3.0084786120756175,0.20983065695429046
recent_2020_2025,beta_scored_ppg_only,864,90.54630425294245,-1.8181302105938946,0.7384259259259259,371.1843509391502,8.459194646450717,-2.705274040316358,0.2119664871153027
recent_2020_2025,beta_scored_rank_only,864,90.86298982553863,-4.013275287769459,0.75,372.51579389218927,8.26895840962728,-2.4797724971064814,0.2078051233487855
recent_2020_2025,production_hybrid,864,90.77993544126447,3.8497259351942272,0.7349537037037037,373.35215266192404,8.426698386423872,-2.99461383584105,0.20898408458066087
temporal_2023_2025,beta_context_only,432,90.06139029701788,-15.470742119683159,0.75,374.0383345709906,7.748403729725276,2.165219907407407,0.23849124672972127
temporal_2023_2025,beta_scored_full,432,90.16405084376785,-13.237966184262875,0.7523148148148148,372.2406011228208,7.671932298950697,1.5055459104938276,0.2376524685832208
temporal_2023_2025,beta_scored_ppg_only,432,89.5926024233405,-15.652550591362846,0.7361111111111112,370.585797797309,7.6879640116122525,2.3865620177469133,0.23717429706589185
temporal_2023_2025,beta_scored_rank_only,432,90.08453372666045,-16.703808819806135,0.75,371.9663316514757,7.727702168280206,1.5307798032407407,0.2334886244785638
temporal_2023_2025,production_hybrid,432,89.8236151465,-11.378083688241464,0.7337962962962963,372.7317421242043,7.736738150011855,1.4996322820216048,0.2343274026250643
