Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
KC,1,25.2%,3,1,27.5%,1,41.1%,9,1.3%,1,26.3%,1,41.9%,8,2.6%,27,8.9%,21,0.3%
BUF,2,19.0%,10,3,21.2%,2,36.5%,11,0.6%,3,16.7%,3,36.1%,17,-5.0%,4,2.4%,11,-0.7%
PHI,3,15.0%,11,6,12.5%,9,23.9%,1,15.3%,4,16.4%,7,24.7%,1,17.3%,23,7.4%,27,1.4%
CIN,4,14.2%,18,4,21.1%,7,24.9%,4,7.5%,6,10.5%,9,22.1%,9,2.3%,26,8.7%,3,-2.4%
DET,5,13.2%,29,5,15.9%,5,29.1%,14,-0.7%,5,12.9%,5,28.1%,14,-0.2%,10,4.3%,24,1.1%
SF,6,13.2%,5,2,23.2%,3,35.7%,13,-0.6%,2,16.7%,2,40.2%,11,2.1%,24,8.0%,32,3.0%
MIA,7,12.0%,24,10,3.9%,4,33.0%,16,-3.1%,7,9.9%,4,29.4%,16,-3.4%,28,9.1%,2,-3.2%
CLE,8,8.6%,14,11,3.8%,12,16.9%,6,5.3%,12,5.1%,14,13.1%,10,2.1%,22,7.2%,1,-3.4%
JAX,9,7.7%,27,8,8.2%,6,27.1%,20,-7.5%,10,5.5%,6,25.2%,27,-10.1%,25,8.2%,14,-0.6%
NYG,10,7.1%,32,7,10.4%,10,20.2%,7,4.9%,9,7.3%,10,19.3%,4,6.2%,11,4.3%,12,-0.6%
GB,11,6.7%,2,9,6.9%,14,11.9%,5,5.8%,8,7.5%,12,15.2%,6,3.7%,15,5.9%,23,0.8%
BAL,12,6.6%,17,19,-2.2%,16,11.0%,2,10.8%,11,5.2%,18,7.2%,2,11.3%,17,6.2%,5,-1.3%
ATL,13,5.8%,28,12,3.3%,19,7.8%,3,8.2%,15,3.9%,21,5.2%,3,6.8%,2,2.1%,13,-0.6%
SEA,14,4.8%,7,16,0.0%,8,24.1%,23,-9.5%,13,4.7%,8,23.0%,21,-8.4%,8,4.0%,22,0.6%
DAL,15,2.8%,6,13,3.3%,13,12.8%,10,1.1%,14,4.1%,13,14.6%,12,1.9%,16,6.2%,30,1.8%
TB,16,0.4%,1,17,-0.7%,11,17.6%,30,-18.1%,19,-1.4%,11,15.8%,30,-20.1%,14,5.5%,15,-0.3%
LV,17,0.3%,19,15,0.3%,21,6.1%,8,3.9%,16,1.8%,17,7.4%,5,5.8%,30,9.8%,6,-1.3%
PIT,18,-0.3%,25,14,2.0%,18,8.4%,15,-2.0%,18,-1.0%,20,5.7%,15,-0.4%,1,2.0%,4,-2.3%
LAC,19,-1.9%,4,18,-0.9%,17,8.7%,22,-8.9%,17,0.4%,15,11.5%,19,-7.2%,18,6.3%,31,2.4%
MIN,20,-3.1%,16,22,-5.8%,15,11.4%,28,-13.9%,20,-3.5%,16,9.6%,28,-12.0%,12,4.3%,19,0.1%
TEN,21,-5.8%,20,24,-8.2%,20,6.2%,18,-5.5%,25,-7.9%,22,3.9%,20,-7.4%,7,3.8%,16,-0.2%
NO,22,-7.0%,23,23,-5.9%,22,4.9%,24,-9.9%,21,-5.9%,19,6.7%,26,-9.4%,13,4.8%,26,1.3%
LAR,23,-8.1%,8,21,-5.7%,25,-0.8%,19,-6.8%,27,-10.3%,27,-5.5%,18,-5.4%,19,6.6%,10,-0.9%
NE,24,-8.5%,9,27,-10.2%,23,1.2%,21,-8.7%,24,-7.9%,23,2.4%,25,-8.9%,9,4.2%,18,0.0%
CHI,25,-8.7%,26,25,-8.4%,30,-11.0%,12,0.4%,22,-6.9%,30,-10.0%,7,3.0%,21,7.1%,9,-1.0%
NYJ,26,-9.6%,22,29,-13.8%,24,-0.6%,25,-10.4%,29,-11.3%,24,-2.2%,29,-12.5%,29,9.6%,7,-1.1%
CAR,27,-10.0%,31,20,-4.7%,28,-6.1%,17,-4.0%,23,-7.6%,28,-6.4%,13,1.1%,32,12.7%,17,0.0%
WAS,28,-12.4%,21,26,-9.7%,26,-2.8%,29,-15.6%,26,-10.3%,26,-5.4%,22,-8.5%,3,2.3%,25,1.2%
DEN,29,-13.1%,12,28,-12.7%,27,-4.8%,26,-11.0%,28,-10.6%,25,-2.2%,23,-8.6%,6,3.6%,28,1.5%
ARI,30,-15.9%,15,30,-16.2%,29,-10.2%,27,-12.4%,30,-13.8%,29,-8.9%,24,-8.8%,5,3.6%,8,-1.0%
HOU,31,-27.5%,30,31,-30.2%,31,-21.3%,32,-26.7%,31,-24.6%,31,-15.1%,32,-28.3%,20,7.0%,29,1.7%
IND,32,-31.7%,13,32,-34.3%,32,-32.4%,31,-23.2%,32,-30.7%,32,-27.5%,31,-27.5%,31,9.9%,20,0.3%

